label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
THUMB_DOWN,0.0,0.0,0.0,-0.26314677248908996,0.41013113279886626,-0.18480439033766374,-0.5398749330799857,0.829501163927267,-0.3136821249774948,-0.7106943408739355,1.2547074494202528,-0.4359451434239793,-0.7735469346241256,1.5727096942783203,-0.5283751922732752,-0.9946613897551125,0.34828973270886593,-0.12004545087438592,-1.0056162039461174,0.5830316277376005,-0.32338620320001665,-0.7128075345525104,0.4993824321101384,-0.44274378303122425,-0.5973958963704192,0.3881777227798697,-0.5053867113865098,-0.9999446982599723,-0.010516673512712096,-0.10915265053447464,-0.9551817039875657,0.24533251086169156,-0.3216766113527778,-0.6361082684112151,0.24875493764039053,-0.3752035948090675,-0.5857399273707774,0.14752822553368217,-0.38214837589903317,-0.9074684759990762,-0.33304691256050706,-0.1305394937400165,-0.8799856073828259,-0.150911735301726,-0.3290023940309127,-0.6131566370689139,-0.058703067489084014,-0.2691990696812124,-0.5754629177820166,-0.1333280569624594,-0.1896451394619794,-0.7769547675238289,-0.5992966680325016,-0.17123798123110492,-0.8103718316481464,-0.5084992283187423,-0.24529630254464374,-0.6248028768158919,-0.3415291993412208,-0.1685211380979327,-0.5683660765806265,-0.3409409038634837,-0.09471353759861212
FIST,0.0,0.0,0.0,-0.2676095868483493,-0.16363881308499897,-0.08627880908046062,-0.5142644248941549,-0.4866086553110138,-0.1416116218749203,-0.6270640588274848,-0.8430463229478271,-0.2133240957941758,-0.49924246339965367,-1.1124988652537728,-0.2615682894512186,-0.41269811387699873,-0.9368991632260695,0.06288178426720091,-0.5278426920547891,-1.1802970048264712,-0.10627081037458973,-0.46999833351579823,-0.9092728351793731,-0.20658815290335292,-0.39449816092338047,-0.7131000652748345,-0.24358414401878856,-0.229625980451922,-0.9732789472199085,0.04278850819151309,-0.34618608228482295,-1.2004015498355665,-0.12203595223565614,-0.29063244472892663,-0.8232607632184857,-0.15621187042653284,-0.2196719876086,-0.637308442652575,-0.127270045815273,-0.032184894574496664,-0.9607798500462245,-0.012775286297313664,-0.13916082315136016,-1.197153025774751,-0.1815197039544057,-0.1234051531515016,-0.8186988077368501,-0.13345470123140804,-0.07410053465841046,-0.6129136938975175,-0.041614204531076476,0.18041286371238582,-0.8945527023858344,-0.07796452051226888,0.0659117631440861,-1.1016874670901025,-0.16664234223624716,0.02103057664460997,-0.8473920208128434,-0.11609286568509848,0.02945848121394254,-0.6687350588064079,-0.04346700582623174
OPEN_PALM,0.0,0.0,0.0,-0.26607095148278054,-0.1490211300194181,-0.07045835328323516,-0.4642977931908919,-0.456281670444678,-0.0832949445399355,-0.599463947752009,-0.7049379386107432,-0.0963793830205332,-0.7217147742944969,-0.8930477067292663,-0.10487902000200863,-0.3344745035258798,-0.9218492480757856,0.039651392782627214,-0.4381566449561772,-1.2255448652081835,0.004636708453044179,-0.49173063069050305,-1.4098772680040057,-0.0404105404134687,-0.5200217548524012,-1.581882643786907,-0.07811873450541362,-0.16109920696136593,-0.9869382176795157,0.021835100640643222,-0.2106013291745072,-1.3537438947383469,0.008677020633098909,-0.2327092081029508,-1.5843715360292876,-0.022513751300429995,-0.2460242122480934,-1.7649632553913581,-0.05000583151753512,0.007351154854123978,-0.9563109265806489,-0.017156113414614673,-0.0019603079610997273,-1.307630935677178,-0.05083333625109197,-0.014812876918540562,-1.5208886594637465,-0.07349121533851764,-0.03331915066517298,-1.706035626196402,-0.09257934142347299,0.17109980251495424,-0.8562465581789508,-0.06707589413762596,0.21579485879759103,-1.1212160099063635,-0.1060473533767269,0.23582612557674976,-1.29781600958993,-0.11542650818488721,0.24572432476734696,-1.471185482252644,-0.12116729986386802
FIST,0.0,0.0,0.0,-0.3341799943427653,-0.20692155960943073,-0.06670864397020781,-0.582216145842724,-0.5325745019247649,-0.10509514800481226,-0.6969296726401585,-0.8999367932237589,-0.1654400885936155,-0.6140390608820567,-1.209184297377887,-0.20393920976278473,-0.4367444578252929,-0.9250807379320038,0.12228667858506108,-0.5317777518566068,-1.2002037513182897,-0.027099243893555367,-0.48229893451982325,-0.9280389008473081,-0.12840999599098016,-0.42196266472151256,-0.741041153768,-0.1710738883022922,-0.2639889757726805,-0.9645256972577201,0.09671255677610122,-0.36699505134766686,-1.2449749001358128,-0.057710611931052605,-0.3143186720140669,-0.8929614345077473,-0.11279514689215801,-0.2546042237271106,-0.7000792668063043,-0.10186376923746275,-0.07475654388469709,-0.9642889386072538,0.03734876667102517,-0.16600764047840574,-1.2413858942364133,-0.11526022993797226,-0.15351158051685837,-0.8851567604073426,-0.07972396119966306,-0.1153558116493962,-0.6635770678814568,-0.000191744293201988,0.13479114443599188,-0.917546047906062,-0.03086718541015457,0.025193892862200203,-1.153931297415143,-0.10511768793441927,-0.011965333321283023,-0.9133259789866466,-0.05443280558447598,0.00047197704948881154,-0.7291288491035592,0.015266222981537594
FIST,0.0,0.0,0.0,-0.3176521774833056,-0.1985764634897946,-0.07263115549552886,-0.5686635887532996,-0.5310286616311849,-0.11389102452830667,-0.688401037918385,-0.9019801209060703,-0.17501914674867391,-0.5662288944706084,-1.1736721814960525,-0.21289026103285966,-0.4324178423490374,-0.9285716571562449,0.1057986252931644,-0.5237719395508582,-1.2059340733698471,-0.047431982649746,-0.4810843201511556,-0.9237974286519836,-0.1417672558634298,-0.4272627543374783,-0.7445520518642049,-0.17864727482209777,-0.259302615305088,-0.96579612429122,0.08157913582864551,-0.3650914413174643,-1.2495167235748401,-0.0760761100440428,-0.31392953343327584,-0.8880685531688669,-0.11907695322499724,-0.2533029269353763,-0.7091279516920519,-0.09658513139665202,-0.069129399148159,-0.9649438497345899,0.022889099612617973,-0.1647282051592934,-1.234935088679144,-0.1347931361420372,-0.14885686639374937,-0.8710476194713929,-0.0927834842140815,-0.10773215232969365,-0.6657744311273157,-0.006130162473951654,0.13999141304972448,-0.9153829989156221,-0.044918573016957,0.024731529802041498,-1.1438395023346082,-0.11893300718784065,-0.009406155442468377,-0.8975582477433331,-0.06562661305874327,0.007033512536038151,-0.7233171061513273,0.006306696681402086
FIST,0.0,0.0,0.0,-0.3160725347411766,-0.20166749247664573,-0.07314967942729293,-0.5676636360925484,-0.5292983222874293,-0.11616922120598372,-0.6898259307350844,-0.897728195472428,-0.17856753220377164,-0.5690643090215746,-1.1710935936953981,-0.2180012651412341,-0.4311261179811497,-0.9278558317911688,0.10271415359325421,-0.522693080596428,-1.2048921255658298,-0.048885745819072055,-0.4804716365244664,-0.9238664817706568,-0.14349596432852055,-0.4270788272440499,-0.7444183762157605,-0.1813849818500043,-0.2582904967068282,-0.9660672954359546,0.07901259403423858,-0.36471376631657654,-1.2492025080487081,-0.076368201188182,-0.31517291732718755,-0.8922218521448918,-0.12022326071973151,-0.2562590600676765,-0.7124133728906127,-0.09969268656901618,-0.0685882011503715,-0.9657266742535903,0.021341187241476156,-0.1640806473144686,-1.2353228532845995,-0.1340035767836677,-0.14987968494019163,-0.8759530207111845,-0.0940371225773228,-0.11000418147279915,-0.6699329513732968,-0.010107775013772606,0.14059644088629833,-0.9175362390110359,-0.0453595957519013,0.02496520625973847,-1.1445220688572293,-0.11865448564066214,-0.009133783341786323,-0.90085106841306,-0.06673803297861193,0.0069236961598225025,-0.7264580709080318,0.003496838381907336
FIST,0.0,0.0,0.0,-0.31646200328074664,-0.19766731551992311,-0.06923811792920538,-0.569884611971607,-0.5315193600398183,-0.10889573372622305,-0.6865532390155806,-0.9088068998197631,-0.16841458290078565,-0.5618228766700927,-1.177215133950453,-0.20502427243201465,-0.41903926184548657,-0.9334533169913855,0.1050656961646773,-0.5103927593892819,-1.2046545638191337,-0.04380899212079669,-0.4727050215277872,-0.9186364649493849,-0.13318198087537597,-0.42024884120385175,-0.7439857040747222,-0.16773270921778693,-0.24767771185837034,-0.9688424799979625,0.07944870818104498,-0.35663909374933345,-1.2477005820072702,-0.07362661822532152,-0.31057539840627235,-0.8856473168712578,-0.11155985591770326,-0.24881819754409104,-0.7159143091492426,-0.08715880104975333,-0.06011391567966884,-0.9662138398278641,0.01983371716889491,-0.15926355596802996,-1.2354228124131823,-0.13428071329872635,-0.14761445077758933,-0.8708724931460567,-0.08800455903809995,-0.10548975490589353,-0.6739293409276399,-0.0003418846456714756,0.14794715661529137,-0.916764114438137,-0.04865403463505418,0.029835263969804786,-1.1438013018334603,-0.119342713533333,-0.00471883378936531,-0.8944899867084894,-0.0629236521372068,0.01486680192636458,-0.7254122686588795,0.009875842586177097
FIST,0.0,0.0,0.0,-0.32292952611003656,-0.20140615939535672,-0.06522171362023597,-0.5690275582993953,-0.5321133533925098,-0.1050605843892086,-0.6811497342230546,-0.9010463241730702,-0.16708525002883914,-0.5762484247088625,-1.1894266074385114,-0.20804270908158395,-0.4239669977565825,-0.9289994914123284,0.1152077180396821,-0.5186221380202568,-1.200091599827644,-0.04022090928384617,-0.4753500423380581,-0.9309778475005126,-0.14092207955905903,-0.41715895542751136,-0.7457522590582016,-0.18118956359637875,-0.25305582878656063,-0.9674516770966635,0.08707051719152152,-0.360256999472001,-1.2538511602131648,-0.07204037233821531,-0.31395271314116696,-0.8999000596785799,-0.12244352214045842,-0.2539743512560747,-0.7082514795699137,-0.10505546019364663,-0.06502512515856643,-0.9667604522774429,0.024922353578499482,-0.16335457748763843,-1.2426218119767738,-0.13090974859869825,-0.15214122673983116,-0.8830602588834807,-0.0923556483581863,-0.11156715194474154,-0.669244269906661,-0.008543323262018263,0.14421669302002268,-0.9167982957444777,-0.04601674940556851,0.02999462453241141,-1.1500407905454442,-0.11913501375932448,-0.006748051746882279,-0.9077810446794661,-0.06701766084445206,0.009253658396304144,-0.7308094937843196,0.00399951712235138
FIST,0.0,0.0,0.0,-0.3144952284810666,-0.20253639655655192,-0.06694296358491995,-0.5622384660286769,-0.5321510711867727,-0.11068835174105864,-0.6757843720366333,-0.8931327965461321,-0.17572424694343833,-0.5736609319132251,-1.1848956658205985,-0.22037644966458564,-0.418241128955106,-0.9300457600005195,0.10392550221205975,-0.514720017133475,-1.1961047082811609,-0.05276146085769248,-0.47255838559822916,-0.9244848081117152,-0.15288680711059843,-0.4128763496850325,-0.7412719674105807,-0.19264414913173816,-0.2483191490461167,-0.9686782748761388,0.07629958855633052,-0.35731615040688386,-1.2491365587686314,-0.08204600211721724,-0.31241849692539236,-0.8930418980722895,-0.12988368766895722,-0.2506665855457894,-0.702010019307331,-0.110983101377157,-0.06086216792396107,-0.9676905556932164,0.015085384292723112,-0.16115171475028192,-1.2383499398726416,-0.1394952198618092,-0.15209017637977235,-0.8805397087101267,-0.10028214904011484,-0.1104354531220137,-0.6703704943208346,-0.016655748351406898,0.147010256560573,-0.9163519380907558,-0.05474577689154598,0.031203610407557758,-1.1535794828505446,-0.1274950869881557,-0.005086775908467258,-0.910586630508933,-0.07487239712644223,0.012669168310462539,-0.7305556787206297,-0.003619675810385863
FIST,0.0,0.0,0.0,-0.3211788944612316,-0.2034348561434444,-0.06524312168299323,-0.5679771346793093,-0.5329730591273878,-0.10611475935203954,-0.6837120707142923,-0.895756983459637,-0.16936619893462204,-0.5789848862799852,-1.1838364634002954,-0.21152271869738912,-0.42647438182456954,-0.927395779284476,0.112473967046376,-0.525780419509532,-1.204195826757132,-0.0448281938823767,-0.4820912410833422,-0.9330743547900744,-0.1454922983906,-0.4219615844668852,-0.7481129068679013,-0.18484729014406465,-0.25558154904520763,-0.9667875008437232,0.08452421326090181,-0.3646538458428573,-1.2551460103964802,-0.07521323887271594,-0.3187355481691757,-0.8984018635098328,-0.12435526246911804,-0.25750001680915785,-0.7072884027673593,-0.1052176975210044,-0.06649723261673467,-0.9671487027837264,0.022511670444906522,-0.1668777458630506,-1.2439400653761972,-0.1329746302646782,-0.15655253676922412,-0.8836925714364487,-0.09388374098549411,-0.11475888911572656,-0.6712138600603236,-0.009199186224737043,0.14375547716119602,-0.9169287171476274,-0.04823001204167993,0.02841136073453956,-1.154059126895115,-0.12000679584916554,-0.009186376343409592,-0.9127178863932995,-0.06704753776316738,0.007568093668931809,-0.7358462930188668,0.004837080262036326
